id	query	expected_cuis	why	disallowed_cuis	active_cuis	context_cuis	expected_behavior
portal_01_central_line	Patient portal message: Hi, I am confused about my visit summary. It says I may have need for central venous access, and I came in because of poor peripheral access. I also saw the words ultrasound guided venous access and right internal jugular central line placed in the note. Can you explain whether the procedure note result is why you are concerned about central venous catheter placement? I was told sterile technique might be part of the plan, and I am not sure whether central line insertion is something I need now or only if things do not improve. I am also worried because the instructions mention watching for line associated infection. Please tell me what symptoms should make me call right away, and whether poor peripheral access or ultrasound guided venous access would mean the central venous catheter placement problem is getting worse. My portal still shows an older problem, atrial fibrillation, and an old electrocardiogram result from another visit. It also still lists metoprolol. I do not know if that old information affects the new central venous catheter placement plan or if it is just part of my history. I am trying to sort out which words matter most: need for central venous access, procedure note, right internal jugular central line placed, sterile technique, central line insertion, and line associated infection. I do not want to confuse the old atrial fibrillation history with the new concern from this visit. Could someone reply in plain language with what diagnosis I should use when scheduling follow-up, what the next step is, and whether I should mention poor peripheral access, ultrasound guided venous access, or right internal jugular central line placed when I call?	C0398275|C1145640|C0501117|C0750164|C0041618|C3161456|C0004238|C0025859	Current central-line concern should lead; AF/metoprolol are retained as old chart context.	C3840725|C3844332|C1410088|C0233481|C2825142|C3263700|C0747608|C1547282|C0439673|C0459422	C0398275|C1145640|C0501117|C0750164|C0041618|C3161456	C0004238|C0025859	Active central-line procedure/device/anatomy/infection concepts first; old AF and metoprolol lower; portal meta words suppressed.
portal_02_hypoglycemia_old_diabetes	Patient portal message: I am trying to understand my discharge summary. It says severe hypoglycemia after too much insulin with blood glucose of 38, and it mentions dextrose and continuous glucose monitoring. My chart also still lists an older type 2 diabetes diagnosis and old metformin from another visit. I am confused about whether the low blood sugar is the current problem or whether the old diabetes history is what I should schedule for.	C4523945|C0392201|C0021641|C0017725|C0011860|C0025598	Current severe hypoglycemia should lead while diabetes/metformin remain contextual history.	C3840725|C3844332|C1410088|C0233481|C2825142|C3263700	C4523945|C0392201|C0021641|C0017725	C0011860|C0025598	Active hypoglycemia/lab/treatment first; old diabetes medication lower; meta confusion suppressed.
portal_03_asthma_old_heart_failure	Patient portal message: My after visit note says asthma exacerbation with wheezing and increased work of breathing, and it lists albuterol and systemic corticosteroids. My portal still shows old heart failure with reduced ejection fraction and prior furosemide from another visit. I am not sure which diagnosis I should use for follow-up.	C0349790|C0004096|C0043144|C0001927|C0001617|C0018801|NEW3560835	Current asthma flare should lead; older heart failure and furosemide should be retained lower.	C3844332|C1410088|C2825142|C3263700	C0349790|C0004096|C0043144|C0001927|C0001617	C0018801|NEW3560835	Active asthma concepts first; old cardiac history lower; meta uncertainty suppressed.
portal_04_abdominal_pain_old_afib	Patient portal message: I came in with right lower quadrant pain, fever, and leukocytosis, and the CT abdomen said appendicitis. The plan mentions laparoscopic appendectomy. My portal also shows old atrial fibrillation, an old electrocardiogram result, and metoprolol from another visit. I do not want to confuse the old history with the current surgical problem.	C0694551|C0750426|C0412620|C0003615|C0003611|C0004238|C0025859	Current appendicitis/surgery should lead; old AF/metoprolol should remain contextual.	C3840725|C1410088|C2825142|C3263700	C0694551|C0750426|C0412620|C0003615|C0003611	C0004238|C0025859	Active appendicitis concepts first; old rhythm history lower; meta wording suppressed.
portal_05_preeclampsia_old_migraine	Patient portal message: The note says I am 34 weeks pregnant with severe hypertension, headache, and proteinuria, and obstetrics diagnosed preeclampsia with severe features. It also mentions magnesium sulfate. My portal still lists old migraine medication and an old head CT result from a prior visit. I am worried about which diagnosis matters now.	C0032914|C0024480|C0259787|C4013784|C0033687|C0018681|C0149931	Current preeclampsia should lead; old migraine context should not become the main diagnosis.	C0233481|C1410088|C2825142|C3263700	C0032914|C0024480|C0259787|C4013784|C0033687|C0018681	C0149931	Active obstetric hypertension first; old migraine lower; worry/result words suppressed.
portal_06_pyelo_old_kidney_stone	Patient portal message: My visit summary says fever, dysuria, flank pain, nitrites, pyuria, urine culture with E coli, and acute pyelonephritis treated with ceftriaxone. My problem list still shows an older kidney stone and old tamsulosin from another visit. Can you explain which words I should use when I call?	C0520575|C0015967|C0013428|C0016199|C0430404|C0014834|C0007561|C0392525|C0257343	Current pyelonephritis/infection should lead; old nephrolithiasis/tamsulosin lower.	C3844332|C1410088|C2825142|C3263700	C0520575|C0015967|C0013428|C0016199|C0430404|C0014834|C0007561	C0392525|C0257343	Active urinary infection first; old stone medication context lower; meta instructions suppressed.
portal_07_dvt_old_ecg	Patient portal message: I am reading the emergency note. It says calf swelling, elevated D-dimer, venous duplex ultrasound, acute deep vein thrombosis, apixaban, and pulmonary embolism symptoms to watch for. The portal also still shows an old electrocardiogram result and older atrial fibrillation from another visit. I am not sure what to schedule for.	C0149871|NEW4840890|C0034065|C0742969|C0242845|C1831808|C0004238	Current DVT/PE concern should lead; old AF/ECG should stay contextual.	C3844332|C1410088|C2825142|C3263700	C0149871|NEW4840890|C0034065|C0742969|C0242845|C1831808	C0004238	Active clot concepts first; old ECG/rhythm context lower; meta uncertainty suppressed.
portal_08_migraine_old_depression	Patient portal message: My note says recurrent migraine with photophobia, nausea, unilateral headache, and sumatriptan for the acute attack. It also still lists old depression, PHQ-9, and sertraline from another visit. I am confused about which problem is current and what to tell scheduling.	C0149931|C0085636|C0027497|C0202691|C0075632|C1269683|C0074393	Current migraine should lead; old depression/sertraline lower.	C3840725|C1410088|C2825142|C3263700	C0149931|C0085636|C0027497|C0202691|C0075632	C1269683|C0074393	Active migraine concepts first; old behavioral health history lower; confusion/scheduling meta suppressed.
portal_09_wound_infection_old_anticoag	Patient portal message: The wound care note says sacral pressure ulcer with necrotic tissue and surrounding erythema, and it mentions wound debridement and pressure offloading. My portal still shows older warfarin, supratherapeutic INR, and epistaxis from the anticoagulation clinic. I do not know if that old result affects the wound plan.	C4554531|C0748470|C0191342|C0043031|C4049341|C0014591	Current pressure ulcer/debridement should lead; old anticoagulation issue lower.	C3840725|C1410088|C2825142|C3263700	C4554531|C0748470|C0191342	C0043031|C4049341|C0014591	Active wound-care concepts first; old anticoagulation history lower; result/meta words suppressed.
portal_10_copd_old_sleep_apnea	Patient portal message: The summary says COPD exacerbation with worsening dyspnea and wheezing after a viral illness, and it lists prednisone, azithromycin, spirometry history, and low oxygen saturation. My portal also shows old obstructive sleep apnea and CPAP from another visit. I am not sure which diagnosis to use.	C0024117|C0740304|C0013404|C0037981|C0523807|C0032952|C0052796|C0520679|C0199451	Current COPD exacerbation should lead; old OSA/CPAP lower.	C3844332|C1410088|C2825142|C3263700	C0024117|C0740304|C0013404|C0037981|C0523807|C0032952|C0052796	C0520679|C0199451	Active pulmonary exacerbation first; old sleep history lower; meta uncertainty suppressed.
portal_11_chest_pain_old_reflux	Patient portal message: I went in for ST elevation, elevated troponin, coronary angiography, right coronary artery occlusion, and PCI with stent placement. The portal still lists old reflux, omeprazole, and Barrett esophagus from another visit. I am worried that the old GI result is being mixed into the heart plan.	C0085532|C1532338|C6066600|C0520886|C1290385|C2348535|C0017168|C0028978	Current acute coronary/PCI concepts should lead; old reflux history lower.	C0233481|C1410088|C2825142|C3263700	C0085532|C1532338|C6066600|C0520886|C1290385|C2348535	C0017168|C0028978	Active cardiac procedure/findings first; old GI context lower; worry/result meta suppressed.
portal_12_crohns_old_thyroid	Patient portal message: The clinic note says Crohn disease with diarrhea and perianal fistula, colonoscopy showed active ileitis, and infliximab infusion was restarted. My portal also shows an old thyroid nodule ultrasound and prior levothyroxine from another visit. Could someone explain which words matter for follow-up?	C0010346|C0011991|C0016169|C0009378|C0666743|C0040137|C0040165	Current Crohn flare/treatment should lead; old thyroid context lower.	C3844332|C1410088|C2825142|C3263700	C0010346|C0011991|C0016169|C0009378|C0666743	C0040137|C0040165	Active Crohn concepts first; old thyroid history lower; meta follow-up wording suppressed.
